# ra,dec,dist
3.127170000000021446e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.128170000000021673e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.129170000000021901e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.130170000000022128e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.131170000000022355e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.132170000000022583e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.133170000000022810e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.134170000000023038e+02,3.652000000000000313e+01,1.593000000000000000e+03
3.033170000000000073e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.034170000000000300e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.035170000000000528e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.036170000000000755e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.037170000000000982e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.038170000000001210e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.039170000000001437e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.040170000000001664e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.041170000000001892e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.042170000000002119e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.043170000000002346e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.044170000000002574e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.045170000000002801e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.046170000000003029e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.047170000000003256e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.048170000000003483e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.049170000000003711e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.050170000000003938e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.051170000000004165e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.052170000000004393e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.053170000000004620e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.054170000000004848e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.055170000000005075e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.056170000000005302e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.057170000000005530e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.058170000000005757e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.059170000000005984e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.060170000000006212e+02,3.662000000000000455e+01,1.593000000000000000e+03
3.061170000000006439e+02,3.662000000000000455e+01,1.593000000000000000e+03
